name,targetid,window_lower,window_upper,ra,dec
4FGL J0700.5-6610,38456,2024-01-01,2024-03-10,105.13021,-66.17923
B3 0850+443,14051,2021-01-01,2021-03-10,133.54121,44.14175
87GB 213913.0+293303,16150,2023-07-10,2023-08-10,325.34954,29.78506
